Building,Developer,Phase, lat, lng
Abisko 5,Reinhold Gustafsson,Norra 1,59.35595361,18.0868621
Abisko 4,Lennart Ericsson,Norra 1,59.3560205,18.08616256
Abisko 2,Erik Wallin,Norra 1,59.35637207,18.08663813
Abisko 1,Jarntorget,Norra 1,59.35670083,18.08630493
Abisko 3,Viktor Hanson,Norra 1,59.35634397,18.0856887
Garphyttan 3,Seniorgarden,Norra 1,59.35659209,18.08513025
Garphyttan 1; 2,NCC,Norra 1,59.35711503,18.08572756
Gotska sandon 2,Familjebostader,Norra 1,59.35653812,18.08799931
Gotska sandon 1,SBC Bo,Norra 1,59.35661945,18.08719783
Skuleskogen 2,Svenska Hus 1,Norra 1,59.35785655,18.08700585
Tyresta 1,Boratt,Vastra,59.35425839,18.08886537
Tyresta 2,JM (Tyresta),Vastra,59.35384872,18.08934773
Kosterhavet 1; 2,ByggVesta,Vastra,59.3533684,18.08945898
Farnebofjarden 1,Einar Mattsson,Vastra,59.35339862,18.08725989
Farnebofjarden 2,Jarntorget,Vastra,59.35366478,18.08658025
Tresticklan 2,HSB,Vastra,59.35398864,18.08686938
Tresticklan 1,JM (Tresticklan),Vastra,59.35432139,18.08729039
Norra Kvill 1; Padjelanta 1; 2,Primula,Vastra,59.35449566,18.08974146
Muddus 1,SKB,Vastra,59.35344559,18.0881548
Tofsingdalen 1,Stockholmshem,Vastra,59.35472445,18.08860464
Bjornlandet 1,Svenska Bostader (Bjornlandet),Vastra,59.35575231,18.08854227
Soderasen 1,Svenska Bostader (Soderasen),Vastra,59.3547442,18.08727213
Stora Sjofallet 1,Bonava,Norra 2,59.35820789,18.0878032
Stora Sjofallet 4,SSM,Norra 2,59.35830258,18.08849265
Stora Sjofallet 2,Viktor Hanson,Norra 2,59.35866446,18.08830723
Stora Sjofallet 3,Wallenstam,Norra 2,59.35865841,18.08928653
Domarudden 2,Wallenstam forskola,Norra 2,59.35828293,18.08965828
Hornslandet 1,Stockholmshem,Norra 2,59.35886237,18.09030331
Sonfjallet 3,Erik Wallin,Norra 2,59.35942835,18.09093778
Sonfjallet 1,HEBA,Norra 2,59.35901409,18.09158018
Sonfjallet 2,Skanska,Norra 2,59.35942312,18.09199974
Casabanca 1,Stockholms Hamnar,Vartahamnen,59.35135299,18.1117903
Backakra 4,Besqab,Brofastet,59.35992555,18.09486179
Backakra 7,Oscar Properties,Brofastet,59.35972129,18.09431265
Backakra 5; 6,ake Sundvall,Brofastet,59.35953958,18.09484313
Backakra 2,Stockholmshem,Brofastet,59.36017779,18.09363346
Backakra 1,Tobin Properties,Brofastet,59.35959383,18.0930446
Backakra 8,Einar Mattsson 1,Brofastet,59.35963099,18.09380778
Koppangen 3,HSB,Brofastet,59.36039062,18.09598136
Koppangen 1,Riksbyggen,Brofastet,59.36025284,18.09534799
Koppangen 4,Einar Mattsson 2,Brofastet,59.35973883,18.09610084
Hjorthagens idrottsplats 2,Fastighetskontoret,Gasverket,59.35700032,18.09330298
Gasklockorna 4,SISAB skola,Gasverket,59.35755709,18.09299683
Hjorthagens idrottsplats 1,SISAB forskola,Gasverket,59.35662477,18.09250025
Stalklockan 1,Oscar Properties,Gasklocka 3 och 4,59.35568026,18.09019641
